experiment,subject,rating_type,label_shown,index,condition,condition_expl,src,first_label,second_label,first_res,second_res,rating,rating_str
1,10,3,yes,49,5,"UHD -> UHD
L: UHD -> HD",SRC08,UHD,HD,UHD,UHD,0,same
1,10,3,yes,50,7,UHD -> UHD,SRC04,UHD,UHD,UHD,UHD,0,same
1,10,3,yes,51,4,"HD -> HD
L: HD -> UHD",SRC06,HD,UHD,HD,HD,0,same
1,10,3,yes,52,1,HD -> UHD,SRC03,HD,UHD,HD,UHD,0,same
1,10,3,yes,53,3,"UHD -> UHD
L: HD -> UHD",SRC01,HD,UHD,UHD,UHD,0,same
1,10,3,yes,54,8,HD -> HD,SRC02,HD,HD,HD,HD,0,same
1,10,3,yes,55,7,UHD -> UHD,SRC05,UHD,UHD,UHD,UHD,0,same
1,10,3,yes,56,3,"UHD -> UHD
L: HD -> UHD",SRC07,HD,UHD,UHD,UHD,0,same
1,10,3,yes,57,1,HD -> UHD,SRC06,HD,UHD,HD,UHD,0,same
1,10,3,yes,58,5,"UHD -> UHD
L: UHD -> HD",SRC05,UHD,HD,UHD,UHD,0,same
1,10,3,yes,59,4,"HD -> HD
L: HD -> UHD",SRC07,HD,UHD,HD,HD,0,same
1,10,3,yes,60,4,"HD -> HD
L: HD -> UHD",SRC08,HD,UHD,HD,HD,0,same
1,10,3,yes,61,8,HD -> HD,SRC03,HD,HD,HD,HD,0,same
1,10,3,yes,62,6,"HD -> HD
L: UHD -> HD",SRC01,UHD,HD,HD,HD,0,same
1,10,3,yes,63,7,UHD -> UHD,SRC02,UHD,UHD,UHD,UHD,0,same
1,10,3,yes,64,4,"HD -> HD
L: HD -> UHD",SRC04,HD,UHD,HD,HD,0,same
1,11,3,yes,1,4,"HD -> HD
L: HD -> UHD",SRC01,HD,UHD,HD,HD,0,same
1,11,3,yes,2,1,HD -> UHD,SRC03,HD,UHD,HD,UHD,1,better
1,11,3,yes,3,7,UHD -> UHD,SRC04,UHD,UHD,UHD,UHD,0,same
1,11,3,yes,4,5,"UHD -> UHD
L: UHD -> HD",SRC02,UHD,HD,UHD,UHD,-1,worse
1,11,3,yes,5,8,HD -> HD,SRC05,HD,HD,HD,HD,0,same
1,11,3,yes,6,8,HD -> HD,SRC07,HD,HD,HD,HD,0,same
1,11,3,yes,7,2,UHD -> HD,SRC08,UHD,HD,UHD,HD,-1,worse
1,11,3,yes,8,7,UHD -> UHD,SRC06,UHD,UHD,UHD,UHD,0,same
1,11,3,yes,9,3,"UHD -> UHD
L: HD -> UHD",SRC01,HD,UHD,UHD,UHD,1,better
1,11,3,yes,10,1,HD -> UHD,SRC02,HD,UHD,HD,UHD,1,better
1,11,3,yes,11,7,UHD -> UHD,SRC05,UHD,UHD,UHD,UHD,1,better
1,11,3,yes,12,5,"UHD -> UHD
L: UHD -> HD",SRC07,UHD,HD,UHD,UHD,-1,worse
1,11,3,yes,13,8,HD -> HD,SRC03,HD,HD,HD,HD,0,same
1,11,3,yes,14,4,"HD -> HD
L: HD -> UHD",SRC04,HD,UHD,HD,HD,1,better
1,11,3,yes,15,8,HD -> HD,SRC08,HD,HD,HD,HD,0,same
1,11,3,yes,16,8,HD -> HD,SRC06,HD,HD,HD,HD,-1,worse
1,11,3,yes,17,4,"HD -> HD
L: HD -> UHD",SRC02,HD,UHD,HD,HD,0,same
1,11,3,yes,18,5,"UHD -> UHD
L: UHD -> HD",SRC03,UHD,HD,UHD,UHD,0,same
1,11,3,yes,19,4,"HD -> HD
L: HD -> UHD",SRC08,HD,UHD,HD,HD,1,better
1,11,3,yes,20,1,HD -> UHD,SRC01,HD,UHD,HD,UHD,1,better
1,11,3,yes,21,3,"UHD -> UHD
L: HD -> UHD",SRC06,HD,UHD,UHD,UHD,1,better
1,11,3,yes,22,2,UHD -> HD,SRC07,UHD,HD,UHD,HD,0,same
1,11,3,yes,23,1,HD -> UHD,SRC04,HD,UHD,HD,UHD,1,better
1,11,3,yes,24,4,"HD -> HD
L: HD -> UHD",SRC05,HD,UHD,HD,HD,0,same
1,11,3,yes,25,3,"UHD -> UHD
L: HD -> UHD",SRC05,HD,UHD,UHD,UHD,0,same
1,11,3,yes,26,6,"HD -> HD
L: UHD -> HD",SRC06,UHD,HD,HD,HD,-1,worse
1,11,3,yes,27,2,UHD -> HD,SRC02,UHD,HD,UHD,HD,0,same
1,11,3,yes,28,2,UHD -> HD,SRC04,UHD,HD,UHD,HD,-1,worse
1,11,3,yes,29,5,"UHD -> UHD
L: UHD -> HD",SRC08,UHD,HD,UHD,UHD,-1,worse
1,11,3,yes,30,6,"HD -> HD
L: UHD -> HD",SRC01,UHD,HD,HD,HD,-1,worse
1,11,3,yes,31,6,"HD -> HD
L: UHD -> HD",SRC03,UHD,HD,HD,HD,0,same
1,11,3,yes,32,7,UHD -> UHD,SRC07,UHD,UHD,UHD,UHD,1,better
1,11,3,yes,33,7,UHD -> UHD,SRC01,UHD,UHD,UHD,UHD,1,better
1,11,3,yes,34,1,HD -> UHD,SRC08,HD,UHD,HD,UHD,1,better
1,11,3,yes,35,3,"UHD -> UHD
L: HD -> UHD",SRC02,HD,UHD,UHD,UHD,0,same
1,11,3,yes,36,5,"UHD -> UHD
L: UHD -> HD",SRC04,UHD,HD,UHD,UHD,0,same
1,11,3,yes,37,2,UHD -> HD,SRC06,UHD,HD,UHD,HD,0,same
1,11,3,yes,38,2,UHD -> HD,SRC03,UHD,HD,UHD,HD,0,same
1,11,3,yes,39,1,HD -> UHD,SRC05,HD,UHD,HD,UHD,1,better
1,11,3,yes,40,3,"UHD -> UHD
L: HD -> UHD",SRC07,HD,UHD,UHD,UHD,0,same
1,11,3,yes,41,6,"HD -> HD
L: UHD -> HD",SRC02,UHD,HD,HD,HD,-1,worse
1,11,3,yes,42,3,"UHD -> UHD
L: HD -> UHD",SRC04,HD,UHD,UHD,UHD,0,same
1,11,3,yes,43,1,HD -> UHD,SRC06,HD,UHD,HD,UHD,0,same
1,11,3,yes,44,7,UHD -> UHD,SRC08,UHD,UHD,UHD,UHD,-1,worse
1,11,3,yes,45,2,UHD -> HD,SRC05,UHD,HD,UHD,HD,-1,worse
1,11,3,yes,46,3,"UHD -> UHD
L: HD -> UHD",SRC03,HD,UHD,UHD,UHD,0,same
1,11,3,yes,47,6,"HD -> HD
L: UHD -> HD",SRC07,UHD,HD,HD,HD,-1,worse
1,11,3,yes,48,8,HD -> HD,SRC01,HD,HD,HD,HD,0,same
1,11,3,yes,49,4,"HD -> HD
L: HD -> UHD",SRC06,HD,UHD,HD,HD,1,better
1,11,3,yes,50,2,UHD -> HD,SRC01,UHD,HD,UHD,HD,0,same
1,11,3,yes,51,6,"HD -> HD
L: UHD -> HD",SRC04,UHD,HD,HD,HD,-1,worse
1,11,3,yes,52,5,"UHD -> UHD
L: UHD -> HD",SRC05,UHD,HD,UHD,UHD,0,same
1,11,3,yes,53,7,UHD -> UHD,SRC02,UHD,UHD,UHD,UHD,0,same
1,11,3,yes,54,7,UHD -> UHD,SRC03,UHD,UHD,UHD,UHD,-1,worse
1,11,3,yes,55,6,"HD -> HD
L: UHD -> HD",SRC08,UHD,HD,HD,HD,0,same
1,11,3,yes,56,4,"HD -> HD
L: HD -> UHD",SRC07,HD,UHD,HD,HD,1,better
1,11,3,yes,57,8,HD -> HD,SRC02,HD,HD,HD,HD,0,same
1,11,3,yes,58,4,"HD -> HD
L: HD -> UHD",SRC03,HD,UHD,HD,HD,1,better
1,11,3,yes,59,1,HD -> UHD,SRC07,HD,UHD,HD,UHD,1,better
1,11,3,yes,60,5,"UHD -> UHD
L: UHD -> HD",SRC01,UHD,HD,UHD,UHD,1,better
1,11,3,yes,61,8,HD -> HD,SRC04,HD,HD,HD,HD,-1,worse
1,11,3,yes,62,5,"UHD -> UHD
L: UHD -> HD",SRC06,UHD,HD,UHD,UHD,-1,worse
1,11,3,yes,63,3,"UHD -> UHD
L: HD -> UHD",SRC08,HD,UHD,UHD,UHD,1,better
1,11,3,yes,64,6,"HD -> HD
L: UHD -> HD",SRC05,UHD,HD,HD,HD,0,same
1,12,7,yes,1,5,"UHD -> UHD
L: UHD -> HD",SRC03,UHD,HD,UHD,UHD,-1,slightly worse
1,12,7,yes,2,2,UHD -> HD,SRC07,UHD,HD,UHD,HD,-2,worse
1,12,7,yes,3,7,UHD -> UHD,SRC08,UHD,UHD,UHD,UHD,3,much better
1,12,7,yes,4,2,UHD -> HD,SRC01,UHD,HD,UHD,HD,0,same
1,12,7,yes,5,6,"HD -> HD
L: UHD -> HD",SRC06,UHD,HD,HD,HD,2,better
1,12,7,yes,6,3,"UHD -> UHD
L: HD -> UHD",SRC02,HD,UHD,UHD,UHD,3,much better
1,12,7,yes,7,2,UHD -> HD,SRC04,UHD,HD,UHD,HD,0,same
1,12,7,yes,8,6,"HD -> HD
L: UHD -> HD",SRC05,UHD,HD,HD,HD,-1,slightly worse
1,12,7,yes,9,8,HD -> HD,SRC07,HD,HD,HD,HD,-1,slightly worse
1,12,7,yes,10,4,"HD -> HD
L: HD -> UHD",SRC03,HD,UHD,HD,HD,2,better
1,12,7,yes,11,1,HD -> UHD,SRC01,HD,UHD,HD,UHD,1,slightly better
1,12,7,yes,12,4,"HD -> HD
L: HD -> UHD",SRC04,HD,UHD,HD,HD,0,same
1,12,7,yes,13,1,HD -> UHD,SRC05,HD,UHD,HD,UHD,2,better
1,12,7,yes,14,1,HD -> UHD,SRC02,HD,UHD,HD,UHD,3,much better
1,12,7,yes,15,1,HD -> UHD,SRC06,HD,UHD,HD,UHD,-1,slightly worse
1,12,7,yes,16,5,"UHD -> UHD
L: UHD -> HD",SRC08,UHD,HD,UHD,UHD,-2,worse
1,12,7,yes,17,6,"HD -> HD
L: UHD -> HD",SRC02,UHD,HD,HD,HD,0,same
1,12,7,yes,18,3,"UHD -> UHD
L: HD -> UHD",SRC07,HD,UHD,UHD,UHD,0,same
1,12,7,yes,19,4,"HD -> HD
L: HD -> UHD",SRC08,HD,UHD,HD,HD,2,better
1,12,7,yes,20,6,"HD -> HD
L: UHD -> HD",SRC03,UHD,HD,HD,HD,-1,slightly worse
1,12,7,yes,21,5,"UHD -> UHD
L: UHD -> HD",SRC01,UHD,HD,UHD,UHD,1,slightly better
1,12,7,yes,22,5,"UHD -> UHD
L: UHD -> HD",SRC06,UHD,HD,UHD,UHD,0,same
1,12,7,yes,23,8,HD -> HD,SRC05,HD,HD,HD,HD,2,better
1,12,7,yes,24,6,"HD -> HD
L: UHD -> HD",SRC04,UHD,HD,HD,HD,0,same
1,12,7,yes,25,4,"HD -> HD
L: HD -> UHD",SRC01,HD,UHD,HD,HD,0,same
1,12,7,yes,26,7,UHD -> UHD,SRC02,UHD,UHD,UHD,UHD,-1,slightly worse
1,12,7,yes,27,3,"UHD -> UHD
L: HD -> UHD",SRC03,HD,UHD,UHD,UHD,-1,slightly worse
1,12,7,yes,28,7,UHD -> UHD,SRC04,UHD,UHD,UHD,UHD,0,same
1,12,7,yes,29,7,UHD -> UHD,SRC05,UHD,UHD,UHD,UHD,1,slightly better
1,12,7,yes,30,7,UHD -> UHD,SRC06,UHD,UHD,UHD,UHD,-1,slightly worse
1,12,7,yes,31,7,UHD -> UHD,SRC07,UHD,UHD,UHD,UHD,0,same
1,12,7,yes,32,6,"HD -> HD
L: UHD -> HD",SRC08,UHD,HD,HD,HD,1,slightly better
1,12,7,yes,33,3,"UHD -> UHD
L: HD -> UHD",SRC06,HD,UHD,UHD,UHD,2,better
1,12,7,yes,34,8,HD -> HD,SRC04,HD,HD,HD,HD,3,much better
1,12,7,yes,35,3,"UHD -> UHD
L: HD -> UHD",SRC08,HD,UHD,UHD,UHD,0,same
1,12,7,yes,36,2,UHD -> HD,SRC03,UHD,HD,UHD,HD,-1,slightly worse
1,12,7,yes,37,5,"UHD -> UHD
L: UHD -> HD",SRC07,UHD,HD,UHD,UHD,-1,slightly worse
1,12,7,yes,38,5,"UHD -> UHD
L: UHD -> HD",SRC02,UHD,HD,UHD,UHD,3,much better
1,12,7,yes,39,6,"HD -> HD
L: UHD -> HD",SRC01,UHD,HD,HD,HD,2,better
1,12,7,yes,40,2,UHD -> HD,SRC05,UHD,HD,UHD,HD,-1,slightly worse
1,12,7,yes,41,1,HD -> UHD,SRC04,HD,UHD,HD,UHD,1,slightly better
1,12,7,yes,42,1,HD -> UHD,SRC07,HD,UHD,HD,UHD,1,slightly better
1,12,7,yes,43,8,HD -> HD,SRC02,HD,HD,HD,HD,1,slightly better
1,12,7,yes,44,1,HD -> UHD,SRC08,HD,UHD,HD,UHD,3,much better
1,12,7,yes,45,3,"UHD -> UHD
L: HD -> UHD",SRC05,HD,UHD,UHD,UHD,1,slightly better
1,12,7,yes,46,8,HD -> HD,SRC01,HD,HD,HD,HD,2,better
1,12,7,yes,47,2,UHD -> HD,SRC06,UHD,HD,UHD,HD,-2,worse
1,12,7,yes,48,7,UHD -> UHD,SRC03,UHD,UHD,UHD,UHD,2,better
1,12,7,yes,49,2,UHD -> HD,SRC08,UHD,HD,UHD,HD,-3,much worse
1,12,7,yes,50,3,"UHD -> UHD
L: HD -> UHD",SRC04,HD,UHD,UHD,UHD,0,same
1,12,7,yes,51,4,"HD -> HD
L: HD -> UHD",SRC07,HD,UHD,HD,HD,-2,worse
1,12,7,yes,52,4,"HD -> HD
L: HD -> UHD",SRC02,HD,UHD,HD,HD,2,better
1,12,7,yes,53,4,"HD -> HD
L: HD -> UHD",SRC06,HD,UHD,HD,HD,0,same
1,12,7,yes,54,8,HD -> HD,SRC03,HD,HD,HD,HD,0,same
1,12,7,yes,55,5,"UHD -> UHD
L: UHD -> HD",SRC05,UHD,HD,UHD,UHD,-1,slightly worse
1,12,7,yes,56,7,UHD -> UHD,SRC01,UHD,UHD,UHD,UHD,3,much better
1,12,7,yes,57,6,"HD -> HD
L: UHD -> HD",SRC07,UHD,HD,HD,HD,-1,slightly worse
1,12,7,yes,58,5,"UHD -> UHD
L: UHD -> HD",SRC04,UHD,HD,UHD,UHD,0,same
1,12,7,yes,59,8,HD -> HD,SRC06,HD,HD,HD,HD,1,slightly better
1,12,7,yes,60,3,"UHD -> UHD
L: HD -> UHD",SRC01,HD,UHD,UHD,UHD,1,slightly better
1,12,7,yes,61,4,"HD -> HD
L: HD -> UHD",SRC05,HD,UHD,HD,HD,1,slightly better
1,12,7,yes,62,1,HD -> UHD,SRC03,HD,UHD,HD,UHD,2,better
1,12,7,yes,63,8,HD -> HD,SRC08,HD,HD,HD,HD,0,same
1,12,7,yes,64,2,UHD -> HD,SRC02,UHD,HD,UHD,HD,1,slightly better
1,13,7,yes,1,8,HD -> HD,SRC04,HD,HD,HD,HD,0,same
